id,text,heuristic_label,manual_label,confidence,notes
72,"Our findings implicate hypercontractility as a direct consequence of thick-filament mutations, irrespective of mutation localization, and the p53 pathway as a molecular marker of contraction stress and candidate therapeutic target for HCM patients.",associated,,,
37,The review analyzes literature data on the phenomenon of chronic heart failure as a clinical syndrome of hypoperfusion of organs and systems of the body due to multiple causes of pumping inadequacy of the circulatory system.,associated,,,
243,Septal wall tissue samples were obtained from HCM patients undergoing myectomy (n = 18) and donor controls (n = 8).,incidental,,,
194,Two-thirds of HCM patients who develop pulmonary congestion on exercise had no evidence of B-lines at rest.,not_associated,,,
292,This study compared the economic impact of HFpEF in patients with and without ATTR-CA in Spain.,incidental,,,
13,The objective of this study was to perform a proof-of-concept experiment that validates a precision medicine approach to identify variants associated with hypertrophic cardiomyopathy (HCM).,associated,,,
259,OBJECTIVE: Heart failure with preserved ejection fraction (HFpEF) is a prevalent and clinically significant condition characterized by limited treatment options.,incidental,,,
124,"There was no difference in age-adjusted survival among patients with normal oximetry compared with those with mild SDB (hazard ratio: 0.98; 95% CI: 0.45 to 2.17), and severe SDB (hazard ratio: 1.06, 95% CI 0.42 - 2.71).",not_associated,,,
276,"Our aim was to assess the effect of suddenly imposed isovolumic afterload on relaxation and EDP, exploiting a highly controlled P-V experimental evaluation setup in the ZSF1 obese rat (ZSF1 Ob) model of HFpEF.",incidental,,,
219,"Seventy-eight patients with HFpEF treated in our hospital from October 2017 to April 2018 were randomized into a treatment group (Entresto 50 mg + basic treatment,",incidental,,,
74,"Therefore, a single marker of high risk for sudden death may be sufficient to justify consideration for prophylactic defibrillator implantation in selected patients with HCM.",associated,,,
57,Disease was presumably caused by the substitution of cytosine by guanine at nucleotide 269 of MYBPC3 mRNA.,associated,,,
139,"There was no difference in early (<30 days) deaths (0/33 vs 1/87, P > 0.999) and mid-term survival between patients with latent obstruction and resting obstruction.",not_associated,,,
154,"Integral of D correlated with D (p < 0.05), but integral of S did not correlate with S, and the degree of change in integral of S or S was much less than that in integral of D or D.",not_associated,,,
216,Data were analyzed between March and December 2022.,incidental,,,
186,"In patients with hypertrophic cardiomyopathy, no correlation existed between left atrial and left ventricular diastolic function indexes (r = -0.26 to 0.33).",not_associated,,,
156,"There were significant differences in Gal-3 levels between NYHA classes, but no correlations between Gal-3 levels and other parameters were found.",not_associated,,,
175,Whether current proposed biomarkers of myocardial fibrosis (BMFs) actually reflect the changes in fibrous characteristics of myocardial tissue remains unclear.,not_associated,,,
293,This study sought to determine factors predicting appropriate implantable cardioverter defibrillator (ICD) therapy in a large cohort of patients with hypertrophic cardiomyopathy (HCM).,incidental,,,
215,Sixty-three patients with HCM and 20 healthy subjects were included in the study.,incidental,,,
278,"BACKGROUND: The metabolic score for insulin resistance (METS-IR) has been validated as a novel, simple, and reliable surrogate marker for insulin resistance; however, its utility for evaluating the prognosis of heart failure with preserved ejection fraction (HFpEF) remains to be elucidated.",incidental,,,
120,The widest QRS was not associated with the smallest gradient in all patients.,not_associated,,,
300,"Peripheral blood samples were collected from 40 members from a family affected with FHC, and 120 healthy volunteers.",incidental,,,
22,"In conclusion, SAA could attenuate cardiac inflammation and cardiac disfunction by TLR/Myd88/TRAF/NF-κB and p38MAPK/CREB signaling pathways in HFpEF mice, which provides evidence for SAA as a potential drug for treatment of HFpEF in clinic.",associated,,,
244,"""Paulus WJ, 2013, J Am Coll Cardiol"" was the top local cited document within the local HFpEF literature collection, while ""Owan TE, 2006, New Engl J Med"" outside the local HFpEF literature collection was the most local cited reference.",incidental,,,
182,There was no correlation of degree of left atrial dilatation with clinical and hemodynamic variables.,not_associated,,,
115,No differences in maximal left ventricular outflow tract velocity between head-up tilt and nitrate application in supine position (3.5 +/- 1.4 m/s) were present.,not_associated,,,
225,This study included 288 cases of 20- to 45-year-old adults who died suddenly of a cardiac cause and whose forensic autopsy was performed in the North Branch of the National Institute of Legal Medicine and Forensic Sciences between 2007 and 2012.,incidental,,,
165,"However, the prevalence of LGE in children and adolescents with HCM is not well established.",not_associated,,,
47,"In addition to its relationship with hypertension in HFpEF, obesity is also strongly associated with insulin resistance (IR) and type 2 diabetes (T2D).",associated,,,
205,"We conducted a search in the records of cardiac magnetic resonance imaging (MRI) performed in our institution between 2016-2019 looking for patients with a diagnosis of EF; sociodemographic, clinical and imaging characteristics were described.",incidental,,,
280,"The peripheral venous blood samples were collected from 5 HCM families without consanguinity, including 5 probands, 2 males and 3 females, 28 sporadic HCM patients, 18 males and 10 females, and 80 healthy controls.",incidental,,,
93,"METHODS: OB-NIR MitoNEET and OB-IR wildtype mice were fed a high-fat diet for 16 weeks, at which time HFpEF was induced via uninephrectomy,  RESULTS: OB-NIR HFpEF mice exhibited reduced cardiac fibrosis without changes in hypertrophy.",associated,,,
6,"Sodium-glucose cotransporter-2 inhibitors and nonsteroidal mineralocorticoid receptor antagonists MRAs exhibit prognostic benefits in HFpEF, with post hoc analyses suggesting enhanced efficacy in higher BMI subgroups.",associated,,,
294,This study sought to evaluate a scoring system predicting cardio-cerebral events in HCM patients using cardiopulmonary exercise testing (CPET).,incidental,,,
100,"We report the case of a 35-week part-of-twin neonate, whose older sibling died earlier because of infantile Pompe disease.",associated,,,
50,The addition of AGR to the risk factors significantly improved the net reclassification and integrated discrimination indices in women with HFpEF.,associated,,,
180,"Because relatively decreased heart weight is strongly associated with exertional death, and because a large proportion of exertional deaths with HC are not associated with significant asymmetry, cardiologists should be careful in excluding the diagnosis of HC in athletes with even mild degrees of cardiomegaly, especially young men.",not_associated,,,
151,"However, accuracy of late gadolinium enhancement for predicting microscopic myocardial scarring in biopsied specimens remains unknown in hypertrophic cardiomyopathy.",not_associated,,,
202,We aimed to assess a physician-reported HFpEF management in the Russian Federation (RF) and a variation in the diagnosis and treatment of HFpEF between the RF and the European Union (EU).,incidental,,,
285,"We investigated the effects of nifedipine on left ventricular remodeling, oxidative stress, and gene expression in the failing heart of Dahl salt-sensitive (DS) rats.",incidental,,,
246,Each subject gave written informed consent to participate in this institutional review board-approved prospective study.,incidental,,,
56,"The aim of this study is to investigate the association between cardiometabolic indexes (TG/FBG, TG/HDL-C, and LDL-C/HDL-C) and diastolic dysfunction in T2DM patients with HFpEF.",associated,,,
297,"Routine clinical echocardiographic data were obtained on 34 subjects at the Mayo Clinic (10 normal subjects, 10 patients with amyloid heart disease, 8 patients with hypertrophic cardiomyopathy and 6 patients with left ventricular hypertrophy due to hypertension).",incidental,,,
117,"There were no significant differences in sex, race, clinical presentation or cause of death between the groups, but there were significant morphologic differences.",not_associated,,,
162,"However in patients with HCM, there was no difference in these indices (E and A/E) according to whether the patients were with or without SFW.",not_associated,,,
119,No differences between the 2 groups were found for changes in either magnesium status or echocardiographic parameters.,not_associated,,,
75,"While much attention has focused on classical inflammatory mediators such as interleukin-6 (IL-6) and tumor necrosis factor-α (TNF-α), the full spectrum of upstream inflammatory drivers and the therapeutic strategies targeting inflammation in cardiometabolic HFpEF remain incompletely defined.",associated,,,
23,"Among 1519 patients, we observed acute LV ballooning in 13 (0.9%), associated with dynamic left ventricular outflow tract (LVOT) obstruction and high gradients, 92 ± 37 mm Hg, 10 female (77%), age 64 ± 7 years, LVEF 31.6 ± 10%.",associated,,,
252,The purpose of this study was to determine whether patients with heart failure and a preserved ejection fraction (HFpEF) have an increase in passive myocardial stiffness and the extent to which discovered changes depend on changes in extracellular matrix fibrillar collagen and cardiomyocyte titin.,incidental,,,
15,"We therefore aimed to assess von Willebrand factor (vWF), a marker of endothelial damage, as potential biomarker for risk assessment in patients with HFpEF.",associated,,,
197,phospholamban gene did not show any mutation in these patients.,not_associated,,,
273,This study sought to report on long-term survival after echo-guided alcohol septal ablation (percutaneous transluminal septal myocardial ablation [PTSMA]) in symptomatic patients with HOCM.,incidental,,,
69,Follow-up for 4.8 (2.5) years was 97% complete for the major endpoint of all-cause mortality.,associated,,,
87,In spite of it being a common cause of heart failure it remains underreported in the postoperative heart.,associated,,,
99,"An annual decrease of 1 SD unit in peak LA strain (ΔLASmax) was most strongly associated with the risk of HFpEF [subdistribution hazard ratios (HR) = 2.56, 95% confidence interval (CI) (1.34-4.90), P = 0.004] and improved model reclassification and discrimination in predicting HFpEF [C-statistic = 0.84, 95% CI (0.79-0.90); net reclassification index (NRI) = 0.34, P = 0.01; and integrated discrimination index (IDI) = 0.02, P = 0.02], whilst an annual decrease of 1 mL/m2 of pre-atrial indexed LA volumes (ΔLAVipreA) was most strongly associated with the risk of HFrEF",associated,,,
66,"For the highest HGF tertile compared with lowest, adjusted HRs were 1.59 (95% CI, 1.10-2.31), 1.90 (95% CI, 1.03-3.51), and 1.09 (95% CI, 0.65-1.82) for overall HF, HFpEF, and HFrEF, respectively.",associated,,,
83,"This effect was associated with significant body weight loss, lower HOMA-IR index of insulin resistance, improved dyslipidemia and HFpEF, but semaglutide only reduced hepatic fat content.",associated,,,
107,There was no difference between the time-to-peak-radius-increasing ratio and the time-to-peak-wall-thickness-thinning ratio in the 10 blocks in the control patients.,not_associated,,,
97,"The LAMP 2 gene is located on Xq24, and its mutation causes primary deficiency of LAMP 2 and myocyte hypertrophy by accumulations of vacuoles containing glycogen.",associated,,,
9,"Left ventricular end-diastolic diameter increased from 41.6 to 48.1 mm, associated with a decrease in fractional shortening from 40.6% to 34.0%.",associated,,,
264,We measured LV ejection velocity proximal and distal to LV obstruction as well as tissue Doppler velocities and time intervals.,incidental,,,
43,"There were six patients in whom, after detailed chart review, no underlying cause of LVH was evident.",associated,,,
52,"Approach and Results: Treprostinil treatment was given to mice with mild metabolic syndrome-associated PH-HFpEF induced by high-fat diet and to SU5416/obese ZSF1 rats, a model created by the treatment of rats with a more profound metabolic syndrome due to double leptin receptor defect (obese ZSF1) with a vascular endothelial growth factor receptor blocker SU5416.",associated,,,
25,The 5'-UTR polymorphism on delta-sarcoglycan gene was associated with coronary spasm in Japanese patients with HCM.,associated,,,
283,We aimed to construct a plasma proteomics-based model to predict new-onset AF in patients with HCM and determine dysregulated signalling pathways.,incidental,,,
4,Familial hypertrophic cardiomyopathy (FHC) is caused by missense mutations in the beta cardiac myosin heavy chain (MHC) gene in less than half of affected individuals.,associated,,,
125,"31.5±8.7 ml/mm2, p=0.0009), while there were no differences in the other echocardiographic parameters.LAV/BSA of ≥40.4 ml/m2 to identify patients with cardiovascular complications with a sensitivity of 73% and a specificity of 88%.",not_associated,,,
190,"No differences were observed regarding 30 day mortality, treated and hospitalized acute rejection, and 30 day death from graft failure after HT.",not_associated,,,
231,This cross-sectional study included 108 patients with HCM who underwent 12-lead ECG and cardiac magnetic resonance imaging with late gadolinium enhancement (LGE-CMR).,incidental,,,
199,"There was no significant effect of treatment on indices of diastolic function (difference in the lateral E/e' ratio: -0.86 ± 6.57 in the CoQ10 group, +0.18 ± 3.76 in the placebo group; p = 0.561) or on serum NT-proBNP levels (- 72 pg/mL vs.",not_associated,,,
45,"BACKGROUND: Mineralocorticoid receptor antagonists (MRAs) are established for heart failure with reduced ejection fraction (HFrEF), but their benefits in mildly reduced/preserved EF (HFmrEF/HFpEF) and agent-specific profiles require clarification.",associated,,,
59,Study of 18 hypertrophic cardiomyopathy patients with the mismatched 123I-BMIPP defects found that the severity of the defects correlated with reduced coronary flow reserve determined by the 13N-ammonia PET study.,associated,,,
137,The 120 unrelated healthy individuals did not show this mutation.,not_associated,,,
218,We aimed to explore the prognostic utility of high-sensitivity cardiac troponin I (hs-cTnI) in patients with newly detected AF and concomitant HFpEF.,incidental,,,
201,We aimed to conduct a meta-analysis to evaluate the diagnostic value of HUTT in the evaluation of unexplained syncope in patients with HCM.,incidental,,,
135,Pericardial thickening in patients after cardiac surgery was commonly found by MRI and usually was not associated with clinical signs of constrictive pericarditis.,not_associated,,,
220,This study investigated whether inhibiting late Na(+) current by using ranolazine improved diastolic function in patients with heart failure with preserved ejection fraction (HFpEF).,incidental,,,
5,Generation of patient-specific induced pluripotent stem cells (iPSCs) and their subsequent differentiation into cardiomyocytes opened new opportunities for studying pathogenesis of inherited cardiovascular diseases.,associated,,,
271,This study evaluated the diagnostic role of early diastolic mitral annular velocity (E') by tissue Doppler echocardiography for differentiating constrictive pericarditis from restrictive cardiomyopathy (primary restrictive cardiomyopathy and cardiac amyloidosis).,incidental,,,
49,"However, it caused marked atrioventricular nodal conduction abnormality in 3 patients and heart block or marked HV interval prolongation (to greater than or equal to 100 ms) in 4 patients.",associated,,,
174,The association of atrial fibrillation (AF) with sudden death and the difference in prognostic significance between paroxysmal and non-paroxysmal AF remains unclear in patients with hypertrophic cardiomyopathy (HCM).,not_associated,,,
211,"METHODS: Male C57BL/6J mice were fed a high-fat diet with L-NAME for 8 weeks to induce HFpEF, followed by 4 weeks of MET or EMPA treatment.",incidental,,,
101,"Background Moderate intensity exercise training (MIT) is safe and effective for patients with hypertrophic cardiomyopathy, yet the efficacy of high intensity training (HIT) remains unknown.",not_associated,,,
265,This historical prospective study included 33 patients.,incidental,,,
192,"Also, no difference is found in cross-sectional area in the long axis plane between types b, c and d.",not_associated,,,
269,"Currently, there is a lack of data regarding titin modulation in the SKM of HFpEF.",incidental,,,
255,"We investigated the natural history, outcomes of myectomy, and impact on survival of obstructive hypertrophic cardiomyopathy (HCM) in childhood.",incidental,,,
272,"Dilated cardiomyopathy data on 355,318 samples and hypertrophic cardiomyopathy data on 489,727 samples were obtained from a European population-based genome-wide association study (GWAS) meta-analysis.",incidental,,,
148,"There were no correlations between the results of programmed ventricular stimulation and those of Holter monitoring, exercise stress testing or late ventricular potential recording, but patients with inducible ventricular tachycardia or fibrillation had proportionally more syncopal episodes and greater than or equal to Grade III ventricular extrasystoles on Holter monitoring, but the difference was not statistically significant in this series.(ABSTRACT TRUNCATED AT 250 WORDS)",not_associated,,,
129,"However, in some cases the first symptom of this disease is a sudden cardiac death (SCD) and diagnosis remains unknown until post-mortem examination.",not_associated,,,
103,"There were no significant differences in blood pressure, ejection fraction, E/A, deceleration time, and pulse wave velocity between the E/e' >15 and E/e' ≤15 groups.",not_associated,,,
132,The cardiac phenotype and time of the day did not predict the mode of initiation.,not_associated,,,
167,"At baseline, there were no significant differences in contractile force between the three groups; however, kinetics were impaired in failing myocardium with significant slowing down of relaxation kinetics in FNI compared to NF myocardium.",not_associated,,,
133,There was no difference in FS between the two treatment arms.,not_associated,,,
7,The Apolipoprotein A-I concentrations significantly associated with ACM of CHF especially in HFmrEF and HFpEF.,associated,,,
106,"However, there was no significant difference in diastolic peak flow velocity between HC and normal subjects.",not_associated,,,
46,In this patient exercise ECG testing and 24‑hour ECG monitoring revealed exercise-induced ST depression in the angiographically confirmed absence of coronary atherosclerosis.,associated,,,
229,We aimed to describe the long-term impact of the ICD for primary prevention in patients with HCM based on stringent (high SCD risk) vs lenient indications (need for pacing/personal choice).,incidental,,,
61,"After multivariable adjustment, only a high provokable LVOT gradient remained an independent predictor of late CHB (OR per 10 mmHg gradient 1.14 [95% CI 1.02-1.29]).",associated,,,
187,"While the HCM group patients showed no significant differences in IVST and PWT from those in the HT-ASH group, they did have greater IVST and smaller PWT than HT-SH group patients.",not_associated,,,
105,Effect of percutaneous transluminal septal ablation (PTSA) with ethanol injection on electromechanical remodeling of left ventricule still remains unknown.,not_associated,,,
91,"In patients with heart failure with preserved ejection fraction, sacubitril/valsartan improved GCS but not GLS when compared with valsartan during a 36-week period.",associated,,,
224,This study investigated the risk of Af as a prognostic factor in long-term mortality and morbidity in Japanese patients with HCM at our institution.,incidental,,,
275,"The surgeon performed mock surgery, and we compared the volume and weight of the resected silicone and myocardium.",incidental,,,
183,"However, patients presented with palpitation did not show a significantly different cardiac phenotype and function.",not_associated,,,
92,"Age, body mass index, atrial fibrillation, triglyceride-glucose index, left ventricular ejection fraction, E/e, and angiotensin-converting enzyme inhibitors/angiotensin receptor blocker administration positively correlated with 1-year HF-related rehospitalization in patients with HFpEF.",associated,,,
251,We investigated the utility of stress perfusion cardiac MRI to detect microvascular dysfunction in children with hypertrophic cardiomyopathy.,incidental,,,
94,"However, the role of desmin mutations as a cause of various types of cardiomyopathy is still undetermined.",associated,,,
79,"Additionally, the ratio of septal to posterior wall thickness was significantly higher in patients with Q waves than in patients without Q waves (2.3 vs.",associated,,,
287,"METHODS: Dahl salt-sensitive (DSS) rats and control rats were fed a high-salt diet for 10 weeks and then acutely treated  RESULTS: High cardiomyocyte F CONCLUSION: Our data show that sGC activator improves cardiomyocyte function, reduces inflammation and oxidative stress, improves sGC-PKG signaling, and normalizes hypertrophic kinases, indicating that it is a potential treatment option for HFpEF patients and perhaps also for cases with increased hypertrophic signaling.",incidental,,,
33,"Hemodynamic data could not be obtained after the administration of captopril in one child with congestive cardiomyopathy because of an immediate, severe hypotensive response.",associated,,,
111,No significant difference in the QRS duration was found in the remaining 58 patients who had preexisting conduction abnormalities after intervention.,not_associated,,,
38,"Hypertrophic obstructive cardiomyopathy (HOCM) is a common inheritable cardiac disorder that can lead to symptoms of dyspnea, angina pectoris, and syncope.",associated,,,
268,"We enrolled a total of 141 HCM patients with sinus rhythm and normal pump function, and 102 patients (73 men; mean age, 61±13 years) who met inclusion criteria were followed for 30.8±10.0 months.",incidental,,,
253,METHODS: Consecutive patients who were diagnosis with HFpEF after discharge between January 2015 and April 2018 at the First Affiliated Hospital of Dalian Medical University and who had been treated with torsemide or furosemide were included in this study.,incidental,,,
208,This study sought to determine outcomes of pediatric RCM at a center that has favored medical management over early listing for HTx.,incidental,,,
10,"In the present study, whole-exome sequencing (WES) and Sanger sequencing validation was used to identify the genetic causes in patients with familial HCM.",associated,,,
204,A total of 108 HCM patients (mean age: 46.6 ± 13.6 years; male: 73) were enrolled in this retrospective study.,incidental,,,
299,"Between 2017 and 2018, a total of 46 HCM patients were enrolled (58 ± 14 years (31 males, 15 females)) with a mean 5 year SCD risk of 2.3% ± 1.3%.",incidental,,,
20,"Duration of regular daily alcohol, heavy daily alcohol, mean daily alcohol consumption, in particular consumption of wine were higher in patients with DCM.",associated,,,
29,"snRNA seq highlighted significant upregulation of a trans-nitrosylase, hemoglobin-beta subunit (HBb), which was corroborated in human HFpEF hearts  CONCLUSIONS:",associated,,,
198,There was no significant association between adiponectin and heart failure with preserved ejection fraction after adjusting for NT-proBNP.,not_associated,,,
144,"Using this revised method, the hypertrophic cardiomyopathy-causing mutation TnI Gly203Ser had no significant effect on Ca(2+)-sensitivity of force production, contrasting with our earlier report of decreased Ca(2+)-sensitivity which was likely caused by the unexpectedly harsh effect of vanadate.",not_associated,,,
286,"METHODS: We enrolled a total of 4,702 participants with HFpEF in this study.",incidental,,,
188,The development of AF is associated with a poor prognosis but there was no evidence that antiarrhythmic therapy prevents AF in the long term.,not_associated,,,
114,"Unlike in the management of heart failure with left ventricular systolic dysfunction, ACE inhibitors, ARBs, β-blockers, and aldosterone antagonists did not demonstrate mortality benefit in HFPEF, with the exception of one small study evaluating the use of propranolol.",not_associated,,,
260,In a retrospective analysis 139 patients with hypertrophic cardiomyopathy were followed up for 8.9 years (range 1 to 28 years).,incidental,,,
178,"In the dilated cardiomyopathy group, there was no relationship of QTc interval to age, shortening fraction, or left ventricular end diastolic dimension.",not_associated,,,
164,"There was no significant difference in CFVR PD between patients with HOCM and those with HCM (2.33 ± 0.46 vs 2.27 ± 0.50; P = .636), respectively.",not_associated,,,
212,Mortality data were obtained from the National Death Index.,incidental,,,
290,BACKGROUND: Pooling data from participants with heart failure with mildly reduced ejection fraction (HFmrEF) or heart failure with preserved ejection fraction (HFpEF) from all completed outcomes trials evaluating finerenone to date may enhance understanding of its safety and efficacy in this high-risk and heterogeneous population.,incidental,,,
1,"This study evaluates the roles of IGF1/IGFBP-1 axis in patients with HF with reduced ejection fraction (HFrEF), mid-range ejection fraction (HFmrEF), or preserved ejection fraction (HFpEF).",associated,,,
12,IGFBP-1/IGF-1 axis correlates with echocardiographic parameters of HFpEF patients and with several prognostic biomarkers including NT-proBNP and C reactive protein.,associated,,,
71,OBJECTIVE: To analyze the effects of Dapagliflozin on cardiac myocyte injury markers and left ventricular diastolic function in patients with heart failure with preserved ejection fraction (HF-PEF) after percutaneous coronary intervention (PCI).,associated,,,
109,"6 myectomy samples were identified with MYBPC3 mutations, one with MYH7 mutation and two remained unknown, but there was no correlation between MYBPC3 mutation and MyBP-C phosphorylation level.",not_associated,,,
179,"Radiofrequency catheter ablation (RFCA) has emerged as a therapeutic option for surgical myectomy and alcohol septal ablation (ASA) in patients with hypertrophic obstructive cardiomyopathy (HOCM), but its efficacy remains unclear.",not_associated,,,
24,"Fully adjusted hazard ratios (HRs) for overall HF, HFpEF, and HFrEF associated with a 1-SD increment were 0.85 (95% CI, 0.75-0.95), 0.78 (95% CI, 0.67-0.91), and 1.02 (95% CI, 0.81-1.28) for minutes per day total PA; 0.74 (95% CI, 0.63-0.88), 0.71 (95% CI, 0.57-0.88), and 0.83 (95% CI, 0.62-1.12) for steps per day; and 1.17 (95% CI, 1.04-1.33), 1.29 (95% CI, 1.10-1.51), and 0.94 (95% CI, 0.75-1.18) for minutes per day total sedentary.",associated,,,
14,"As T2D patients are at risk for heart failure with preserved ejection fraction (HFpEF), we propose that induction of concentric hypertrophy by elevated FGF21-FGFR4 signaling may constitute a novel mechanism promoting T2D-associated HFpEF such that FGFR4 blockade might serve as a cardio-protective therapy in T2D. In addition, potential adverse cardiac effects of FGF21 mimetics currently in clinical trials should be investigated.",associated,,,
65,"In multivariate analysis, markers of congestive heart failure were associated with adverse outcomes.",associated,,,
126,"No significant difference was observed in the incidence of appropriate ICD discharges between PP patients with 1, 2, or more RF.",not_associated,,,
214,BACKGROUND: The purpose of this study was to determine whether patients with heart failure and a preserved ejection fraction (HFpEF) have an increase in passive myocardial stiffness and the extent to which discovered changes depend on changes in extracellular matrix fibrillar collagen and cardiomyocyte titin.,incidental,,,
191,There was no significant difference in the use of beta blockers or the incidence of coronary artery disease.,not_associated,,,
163,"At postoperative follow-up (20 +/- 37 weeks), the maximal measured outflow tract gradient (22 +/- 21 mm Hg) showed no difference between patients with immediate surgical success and those requiring a second period of cardiopulmonary bypass for further resection.",not_associated,,,
176,"One or more Doppler indexes of diastolic function were abnormal in 70% of patients, but no difference in any of these indexes was found between those with and without VT.",not_associated,,,
